timestamp	action	finding	source_url	search_query	verify_http	verify_keywords	score	keep_discard	reason
2026-06-09T20:00:00Z	search	Physical AI funding landscape	https://duckduckgo.com/?q=Physical+AI+funding+2025+2026+Physical+Intelligence+Skild+Sanctuary+Figure+1X	Physical AI funding 2025 2026 Physical Intelligence Skild Sanctuary Figure 1X	not_applicable	snippets_for_Skild_Figure_PI	5	keep	Search returned current high-signal funding URLs for Skild, Figure, Physical Intelligence.
2026-06-09T20:00:00Z	verify	Skild AI Series C	https://www.skild.ai/blogs/series-c	Skild AI funding 2025 2025 Skild AI $1.4 billion SoftBank	200	1.4 billion;Series C;SoftBank	5	keep	Official Skild page reachable and keyword verified.
2026-06-09T20:00:00Z	verify	Figure AI Series C	https://www.figure.ai/news/series-c	Figure AI funding 2025 $1B Series C official	200	Series C;$1 billion;$39B	5	keep	Official Figure page reachable and keyword verified.
2026-06-09T20:00:00Z	verify	Physical Intelligence Series B	https://outsetcapital.com/blog/physical-intelligence-series-b	Physical Intelligence raises $600M Series B CapitalG Lux 2025	200	Physical Intelligence;$600 million;$5.6 billion	5	keep	Investor page reachable and funding keywords verified.
2026-06-09T20:00:00Z	verify	General Intuition seed	https://techcrunch.com/2025/10/16/general-intuition-lands-134m-seed-to-teach-agents-spatial-reasoning-using-video-game-clips/	General Intuition AI robotics funding 2026	200	$133.7 million;seed funding;Khosla	5	keep	TechCrunch page reachable and funding/spatial reasoning keywords verified.
2026-06-09T20:00:00Z	verify	Memories.ai visual memory	https://memories.ai/about	Memories.ai official visual memory AI NVIDIA partnership 2026 $16M	200	Large Visual Memory Model;Qualcomm;Samsung	4	keep	Official page verifies product positioning and named partners; funding remains secondary-source caveat.
2026-06-09T20:00:00Z	verify	Memories.ai Project LUCI	https://memories.ai/blog/project-luci-microsoft-build	Memories.ai $16M funding Susa Ventures NVIDIA 2026 official	200	Windows ML;Qualcomm X2 Elite;zero cloud latency	4	keep	Official page verifies on-device visual memory direction.
2026-06-09T20:00:00Z	verify	TwelveLabs models	https://www.twelvelabs.io/product/models-overview	TwelveLabs Pegasus Marengo 2026 official	200	Marengo;Pegasus;video foundation models	4	keep	Official product page verifies current model/platform surface.
2026-06-09T20:00:00Z	verify	Rerun data layer	https://rerun.io/blog/physical-ai-data	Rerun $17M seed funding official March 2025 physical AI	200	funding;Physical AI;data	4	keep	Official Rerun page verifies Physical AI data infrastructure positioning.
2026-06-09T20:00:00Z	verify	AMI Labs	https://techcrunch.com/2026/03/09/yann-lecuns-ami-labs-raises-1-03-billion-to-build-world-models/	Yann LeCun AMI Labs $1.03B seed official Reuters TechCrunch 2026	200	$1.03 billion;world models;Yann LeCun	5	keep	TechCrunch page reachable and funding/world-model keywords verified.
2026-06-09T20:00:00Z	verify	NVIDIA Cosmos	https://www.nvidia.com/en-us/ai/cosmos/	NVIDIA Cosmos world foundation model official 2025 2026	200	Cosmos;world foundation models;Physical AI	5	keep	Official NVIDIA page reachable and keywords verified.
2026-06-09T20:00:00Z	verify	NVIDIA Cosmos 3	https://research.nvidia.com/labs/cosmos-lab/cosmos3/technical-report.pdf	NVIDIA Cosmos 3 official robotics 2026	200	Cosmos 3;omnimodal world models;Physical AI	5	keep	NVIDIA research PDF reachable; keywords verified in fetched content.
2026-06-09T20:00:00Z	verify	Google Genie 3	https://deepmind.google/blog/genie-3-a-new-frontier-for-world-models/	Google DeepMind Genie 3 official world model 2026	200	Genie 3;world model;interactive environments	5	keep	Official DeepMind page reachable and keywords verified.
2026-06-09T20:00:00Z	verify	World Labs funding	https://www.worldlabs.ai/blog/funding-2026	World Labs Marble world model official 2025 2026 funding	200	World Labs;funding;Marble	5	keep	Official World Labs page reachable and keywords verified.
2026-06-09T20:00:00Z	verify	World Labs Marble	https://www.worldlabs.ai/blog/marble-world-model	World Labs Marble multimodal world model official	200	Marble;multimodal world model;3D worlds	5	keep	Official World Labs page reachable and keywords verified.
2026-06-09T20:00:00Z	verify	World API	https://www.worldlabs.ai/blog/announcing-the-world-api	World Labs World API 2026	200	World API;Marble;3D worlds	5	keep	Official World Labs page reachable and keywords verified.
2026-06-09T20:00:00Z	verify	NVIDIA Jetson Thor	https://developer.nvidia.com/blog/introducing-nvidia-jetson-thor-the-ultimate-platform-for-physical-ai/	Edge AI robotics 2026 NVIDIA Jetson Thor Qualcomm AI Hub	200	Jetson AGX Thor;Blackwell;humanoid robots	5	keep	Official NVIDIA page reachable and keywords verified.
2026-06-09T20:00:00Z	discard	LinkedIn/Pulse2 funding reposts	https://duckduckgo.com/?q=Memories.ai+$16M+NVIDIA	AI funding reposts	0	no_primary_source;duplicate	1	discard	No primary source or unique verification beyond stronger sources.
2026-06-09T20:00:00Z	discard	Quora/Reddit AI trend posts	https://duckduckgo.com/?q=AI+trends+2026+Physical+AI	AI trends 2026	0	no_verifiable_source;no_dated_evidence	1	discard	No primary URL or mechanical evidence.
2026-06-09T20:00:00Z	discard	Generic market research pages	https://duckduckgo.com/?q=Physical+AI+market+research+2026	Physical AI market research 2026	0	aggregated_claims;no_primary_url	2	discard	Aggregated claims without primary URL verification.
2026-06-09T20:00:00Z	discard	Old 2024-only robotics funding	https://duckduckgo.com/?q=2024+robotics+funding	2024 robotics funding	0	superseded_by_2025_2026_rounds	2	discard	Older than current 2025-2026 funding set.
