timestamp	action	finding	source_url	search_query	verify_http	verify_keywords	score	keep_discard	reason
2026-06-16T03:05:15.888236+00:00	verify	NEURA Robotics up to $1.4B Series C	https://tether.io/news/tether-to-lead-neura-robotics-series-c-financing-one-of-the-largest-up-to-1-4bn-robotics-physical-ai-investment-rounds-on-record-to-power-the-financial-and-intelligence-layer/	Physical AI 2026 update	200	1.4B,Neura,Physical AI	5	Keep	HTTP 200; matched 3/3 keywords
2026-06-16T03:05:16.261356+00:00	verify	Hellbender $12.5M Seed	https://www.hellbender.ai/news/hellbender-raises-12-5m-seed-to-build-the-operating-system-for-physical-ai/	Physical AI 2026 update	200		1	Discard	HTTP 200; matched 0/3 keywords
2026-06-16T03:05:17.222711+00:00	verify	Physical Intelligence reportedly $1B raise	https://techcrunch.com/2026/03/27/physical-intelligence-is-reportedly-in-talks-to-raise-1-billion-again/	Physical AI 2026 update	200	Physical Intelligence,$1 billion,robotics	5	Keep	HTTP 200; matched 3/3 keywords
2026-06-16T03:05:18.401734+00:00	verify	Physical Intelligence pi0.7 robot brain	https://techcrunch.com/2026/04/16/physical-intelligence-a-hot-robotics-startup-says-its-new-robot-brain-can-figure-out-tasks-it-was-never-taught/	Physical AI 2026 update	200	robot brain,Physical Intelligence	5	Keep	HTTP 200; matched 2/3 keywords
2026-06-16T03:05:19.408272+00:00	verify	General Intuition $134M seed	https://techcrunch.com/2025/10/16/general-intuition-lands-134m-seed-to-teach-agents-spatial-reasoning-using-video-game-clips/	Physical AI 2026 update	200	General Intuition,$134M,spatial	5	Keep	HTTP 200; matched 3/3 keywords
2026-06-16T03:05:19.601357+00:00	verify	Rerun $17M seed	https://rerun.io/blog/physical-ai-data	Physical AI 2026 update	200	Rerun,$17 million,Physical AI	5	Keep	HTTP 200; matched 3/3 keywords
2026-06-16T03:05:19.902054+00:00	verify	NVIDIA Cosmos 3	https://nvidianews.nvidia.com/news/nvidia-launches-cosmos-3-the-open-frontier-foundation-model-for-physical-ai	Physical AI 2026 update	200	Cosmos 3,Physical AI,world	5	Keep	HTTP 200; matched 3/3 keywords
2026-06-16T03:05:20.456417+00:00	verify	World API	https://www.worldlabs.ai/blog/announcing-the-world-api	Physical AI 2026 update	200	World API,3D worlds,Marble	5	Keep	HTTP 200; matched 3/3 keywords
2026-06-16T03:05:20.796696+00:00	verify	Memories.ai Project LUCI	https://memories.ai/blog/project-luci-microsoft-build	Physical AI 2026 update	200	LUCI,Qualcomm,on-device	5	Keep	HTTP 200; matched 3/3 keywords
2026-06-16T03:05:21.440086+00:00	verify	TwelveLabs models	https://www.twelvelabs.io/product/models-overview/	Physical AI 2026 update	200	Marengo,Pegasus,video	5	Keep	HTTP 200; matched 3/3 keywords
2026-06-16T03:06:56.415957+00:00	verify	Hellbender official $12.5M Seed	https://hellbender.com/hellbender-secures-12-5m-seed-round-to-accelerate-domestic-manufacturing-of-physical-ai-and-launch-its-on-edge-camera-line/	Physical AI 2026 update	200	$12.5 million,Physical AI,on-edge camera	5	Keep	HTTP 200; matched 3/3 keywords
2026-06-16T03:06:56.737139+00:00	verify	Hellbender PR Newswire $12.5M Seed	https://www.prnewswire.com/news-releases/hellbender-secures-12-5m-seed-round-to-accelerate-domestic-manufacturing-of-physical-ai-and-launch-its-on-edge-camera-line-302775081.html	Physical AI 2026 update	200	$12.5 million,Physical AI,on-edge camera	5	Keep	HTTP 200; matched 3/3 keywords
