timestamp	action	finding	source_url	search_query	verify_http	verify_keywords	score	keep_discard	reason
2026-06-12T15:12:19Z	search	Physical AI funding landscape June 2026	https://duckduckgo.com/?q=Physical+AI+funding+June+2026+NEURA+Robotics	Physical AI funding June 2026 robotics company financing	not_applicable	NEURA;Series C;Physical AI;robotics	5	keep	Search returned current high-signal financing URLs for NEURA Robotics and peer set.
2026-06-12T15:12:19Z	search	Competitor dynamics May/June 2026	https://duckduckgo.com/?q=Memories.ai+TwelveLabs+Rerun+General+Intuition+update+2026	Memories.ai TwelveLabs Rerun General Intuition update 2026	not_applicable	Memories.ai;TwelveLabs;Rerun;General Intuition	4	keep	Search returned official/product and secondary-source URLs for requested competitors.
2026-06-12T15:12:19Z	search	World Models Spatial Intelligence Edge AI	https://duckduckgo.com/?q=World+Models+Spatial+Intelligence+Edge+AI+Physical+AI+2026+NVIDIA+Cosmos+Genie+Marble	World Models Spatial Intelligence Edge AI Physical AI 2026 NVIDIA Cosmos Genie Marble	not_applicable	Cosmos 3;Genie 3;World API;Jetson Thor	5	keep	Search returned official NVIDIA/DeepMind/World Labs pages for requested technology themes.
2026-06-12T15:12:19Z	verify	NEURA Robotics Series C	https://tether.io/news/tether-to-lead-neura-robotics-series-c-financing-one-of-the-largest-up-to-1-4bn-robotics-physical-ai-investment-rounds-on-record-to-power-the-financial-and-intelligence-layer/	NEURA Robotics Series C $1.4B Tether June 2026 official	200	1.4bn;Series C;NEURA Robotics;physical AI;Tether	5	keep	Official Tether page reachable and all funding/product keywords verified.
2026-06-12T15:12:19Z	verify	NEURA Robotics Robot Report corroboration	https://www.therobotreport.com/neura-robotics-raise-up-1-4b-in-series-c-funding-physical-ai/	NEURA Robotics raise up to $1.4B Series C Physical AI	200	NEURA Robotics;Series C;1.4 billion;Physical AI	5	keep	Independent robotics publication reachable and funding keywords verified.
2026-06-12T15:12:19Z	verify	Memories.ai visual memory	https://techcrunch.com/2026/03/16/memories-ai-is-building-the-visual-memory-layer-for-wearables-and-robotics/	Memories.ai visual memory wearables robotics 2026	200	Memories.ai;visual memory;wearables;robotics	4	keep	Secondary-source TechCrunch page reachable; product positioning verified. Funding remains caveat.
2026-06-12T15:12:19Z	verify	TwelveLabs Marengo/Pegasus	https://www.twelvelabs.io/product/models-overview/	TwelveLabs Marengo Pegasus video foundation models official	200	Marengo;Pegasus;video foundation models;multimodal	4	keep	Official product page reachable and model keywords verified.
2026-06-12T15:12:19Z	verify	World Labs World API	https://www.worldlabs.ai/blog/announcing-the-world-api	World Labs World API Marble 3D worlds official 2026	200	World API;3D worlds;text, images, and video;Marble	5	keep	Official World Labs page reachable and spatial-intelligence keywords verified.
2026-06-12T15:12:19Z	verify	Google DeepMind Genie 3	https://deepmind.google/models/genie/	Google DeepMind Genie 3 world model official	200	Genie 3;world models;interactive;photorealistic	5	keep	Official DeepMind page reachable and world-model keywords verified.
2026-06-12T15:12:19Z	verify	NVIDIA Jetson AGX Thor	https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-thor/	NVIDIA Jetson AGX Thor Blackwell Physical Robotics official	200	Jetson AGX Thor;Blackwell;Physical Robotics;2070 TFLOPS	5	keep	Official NVIDIA page reachable and edge-compute keywords verified.
2026-06-12T15:12:19Z	discard	Unverified aggregator/repost pages	https://duckduckgo.com/?q=NEURA+Robotics+$1.4B+repost	NEURA Robotics funding repost aggregator	0	no_primary_source;duplicate	1	discard	Dropped in favor of official Tether page and Robot Report corroboration.
